#Parameters = {ApertureA=7300; ApertureB=6000; Horn_Height=7300; ProbeHeight=1333; ProbeL=2000; ProbeR=24; ProbeRin=55; ProbeRout=72; Thickness=3; WGH=3200; WGL=3000; WGW=2000}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
0.050000000745058	-2.3634275813768
0.050050001591444	-2.3993958646017
0.050099998712540	-2.4359169144004
0.050149999558926	-2.4729955439923
0.050200000405312	-2.5106372320081
0.050250001251698	-2.5488484853562
0.050299998372793	-2.5876344905543
0.050349999219179	-2.6270013219871
0.050400000065565	-2.6669556095733
0.050450000911951	-2.7075009816249
0.050500001758337	-2.7486453818611
0.050549998879433	-2.7903943959542
0.050599999725819	-2.8327541394528
0.050650000572205	-2.8757283086847
0.050700001418591	-2.9193234870625
0.050749998539686	-2.9635475164486
0.050799999386072	-3.0084035028830
0.050850000232458	-3.0538987085106
0.050900001078844	-3.1000375080255
0.050949998199940	-3.1468265154580
0.050999999046326	-3.1942718921000
0.051049999892712	-3.2423782596059
0.051100000739098	-3.2911532969380
0.051150001585484	-3.3406013035467
0.051199998706579	-3.3907271264643
0.051249999552965	-3.4415386639525
0.051300000399351	-3.4930414465194
0.051350001245737	-3.5452403919024
0.051399998366833	-3.5981435374663
0.051449999213219	-3.6517533216601
0.051500000059605	-3.7060779840720
0.051550000905991	-3.7611225011240
0.051600001752377	-3.8168944049329
0.051649998873472	-3.8733983800643
0.051699999719858	-3.9306427768744
0.051750000566244	-3.9886298914793
0.051800001412630	-4.0473702028131
0.051849998533726	-4.1068675425941
0.051899999380112	-4.1671286838916
0.051950000226498	-4.2281619746706
0.052000001072884	-4.2899705241756
0.052049998193979	-4.3525630137624
0.052099999040365	-4.4159476432245
0.052149999886751	-4.4801277757925
0.052200000733137	-4.5451117363947
0.052250001579523	-4.6109073990176
0.052299998700619	-4.6775226587821
0.052349999547005	-4.7449618515841
0.052400000393391	-4.8132353182713
0.052450001239777	-4.8823479262881
0.052499998360872	-4.9523099198249
0.052549999207258	-5.0231265604034
0.052600000053644	-5.0948067676836
0.052650000900030	-5.1673575129437
0.052700001746416	-5.2407886736438
0.052749998867512	-5.3151087731125
0.052799999713898	-5.3903240639123
0.052850000560284	-5.4664450705224
0.052900001406670	-5.5434799419165
0.052949998527765	-5.6214389597160
0.052999999374151	-5.7003288609762
0.053050000220537	-5.7801604277847
0.053100001066923	-5.8609430107434
0.053149998188019	-5.9426884409780
0.053199999034405	-6.0254048848908
0.053249999880791	-6.1091025495817
0.053300000727177	-6.1937918363008
0.053350001573563	-6.2794852847830
0.053399998694658	-6.3661934791324
0.053449999541044	-6.4539279854308
0.053500000387430	-6.5426994026440
0.053550001233816	-6.6325198969406
0.053599998354912	-6.7234043897216
0.053649999201298	-6.8153624306895
0.053700000047684	-6.9084079931238
0.053750000894070	-7.0025557461877
0.053800001740456	-7.0978167932812
0.053849998861551	-7.1942094088218
0.053899999707937	-7.2917456092375
0.053950000554323	-7.3904402589794
0.054000001400709	-7.4903088709968
0.054049998521805	-7.5913688548022
0.054099999368191	-7.6936349165428
0.054150000214577	-7.7971243362269
0.054200001060963	-7.9018542028020
0.054249998182058	-8.0078442539115
0.054299999028444	-8.1151118060326
0.054349999874830	-8.2236762667008
0.054400000721216	-8.3335554793232
0.054450001567602	-8.4447724808002
0.054499998688698	-8.5573465900814
0.054549999535084	-8.6713001677122
0.054600000381470	-8.7866553160347
0.054650001227856	-8.9034351697790
0.054699998348951	-9.0216635165154
0.054749999195337	-9.1413641340550
0.054800000041723	-9.2625642252696
0.054850000888109	-9.3852879196396
0.054900001734495	-9.5095656802329
0.054949998855591	-9.6354227227253
0.054999999701977	-9.7628884763287
0.055050000548363	-9.8919940935111
0.055100001394749	-10.022770902911
0.055149998515844	-10.155249843844
0.055199999362230	-10.289465270105
0.055250000208616	-10.425449829744
0.055300001055002	-10.563243667045
0.055349998176098	-10.702878658490
0.055399999022484	-10.844395626943
0.055449999868870	-10.987833339093
0.055500000715256	-11.133234730905
0.055550001561642	-11.280640035720
0.055599998682737	-11.430095359801
0.055649999529123	-11.581643978014
0.055700000375509	-11.735335695590
0.055750001221895	-11.891216886322
0.055799998342991	-12.049340365504
0.055849999189377	-12.209757283701
0.055900000035763	-12.372522106421
0.055950000882149	-12.537691401659
0.056000001728535	-12.705322700691
0.056049998849630	-12.875474841333
0.056099999696016	-13.048212371746
0.056150000542402	-13.223598459208
0.056200001388788	-13.401698169882
0.056249998509884	-13.582578884311
0.056299999356270	-13.766312704375
0.056350000202656	-13.952971505987
0.056400001049042	-14.142628207688
0.056449998170137	-14.335357728974
0.056499999016523	-14.531239393546
0.056549999862909	-14.730351372398
0.056600000709295	-14.932774205715
0.056650001555681	-15.138589918180
0.056699998676777	-15.347880555693
0.056749999523163	-15.560727687346
0.056800000369549	-15.777214547292
0.056850001215935	-15.997420142158
0.056899998337030	-16.221426560654
0.056949999183416	-16.449308882358
0.057000000029802	-16.681140602524
0.057050000876188	-16.916985711576
0.057100001722574	-17.156907926778
0.057149998843670	-17.400952239438
0.057199999690056	-17.649160352431
0.057250000536442	-17.901551240840
0.057300001382828	-18.158128000428
0.057349998503923	-18.418869665758
0.057399999350309	-18.683723279475
0.057450000196695	-18.952604228069
0.057500001043081	-19.225381122034
0.057549998164177	-19.501870796714
0.057599999010563	-19.781825913062
0.057649999856949	-20.064926872460
0.057700000703335	-20.350761380270
0.057750001549721	-20.638814211025
0.057799998670816	-20.928444214445
0.057849999517202	-21.218870711803
0.057900000363588	-21.509146453403
0.057950001209974	-21.798141578451
0.057999998331070	-22.084519148808
0.058049999177456	-22.366714272453
0.058100000023842	-22.642928230875
0.058150000870228	-22.911107977151
0.058200001716614	-23.168967865423
0.058249998837709	-23.413993770175
0.058299999684095	-23.643492991840
0.058350000530481	-23.854650908827
0.058400001376867	-24.044626015826
0.058449998497963	-24.210653860543
0.058499999344349	-24.350177452027
0.058550000190735	-24.460994180808
0.058600001037121	-24.541376594990
0.058649998158216	-24.590198964639
0.058699999004602	-24.607009484121
0.058749999850988	-24.592058794714
0.058800000697374	-24.546294694910
0.058850001543760	-24.471282710024
0.058899998664856	-24.369105538885
0.058949999511242	-24.242233003865
0.059000000357628	-24.093382846171
0.059050001204014	-23.925389253673
0.059099998325109	-23.741081413025
0.059149999171495	-23.543192340826
0.059200000017881	-23.334290018993
0.059250000864267	-23.116727896957
0.059300001710653	-22.892622225686
0.059349998831749	-22.663842567339
0.059399999678135	-22.432014080938
0.059450000524521	-22.198538917974
0.059500001370907	-21.964600587603
0.059549998492002	-21.731192521472
0.059599999338388	-21.499142144793
0.059650000184774	-21.269123030876
