Frequency [MHz],ENR [dB],Error [dB]
60,8.88,0.01
62,9.41,0.01
64,11.05,0.01
66,11.7,0.01
68,11.55,0.01
70,10.25,0.02
72,9.92,0.02
74,9.95,0.01
76,10.05,0.01
78,10.18,0.01
80,10.35,0.01
