Frequency [MHz],ENR [dB],Error [dB]
60,8.39,0.2
62,8.9,0.2
64,10.65,0.15
66,11.32,0.15
68,11.22,0.1
70,9.86,0.04
72,9.52,0.01
74,9.55,0.01
76,9.62,0.01
78,9.76,0.01
80,9.91,0.01
