Frequency [MHz],ENR [dB],Error [dB]
60,9.11,0.02
62,9.66,0.02
64,11.29,0.02
66,11.92,0.01
68,11.73,0.01
70,10.37,0.01
72,10.04,0.01
74,10.08,0.01
76,10.17,0.01
78,10.31,0.01
80,10.48,0.01
