Frequency [MHz],ENR [dB],Error [dB]
60,8.92,0.1
62,9.46,0.1
64,11.1,0.1
66,11.74,0.05
68,11.59,0.05
70,10.28,0.02
72,9.96,0.01
74,10.01,0.01
76,10.1,0.01
78,10.23,0.01
80,10.39,0.01
