Frequency [MHz],ENR [dB],Error [dB]
60,17.89,0.01
62,17.89,0.01
64,17.85,0.01
66,17.83,0.01
68,17.84,0.01
70,17.85,0.01
72,17.84,0.01
74,17.83,0.01
76,17.82,0.01
78,17.8,0.01
80,17.81,0.01
