Frequency [MHz],ENR [dB],Error [dB]
60,18.08,0.01
62,18.08,0.01
64,18.1,0.01
66,18.09,0.01
68,18.1,0.01
70,18.11,0.01
72,18.11,0.01
74,18.09,0.01
76,18.1,0.01
78,18.06,0.01
80,18.07,0.01
