Frequency [MHz],ENR [dB],Error [dB]
60,17.99,0.01
62,18,0.01
64,18.01,0.01
66,17.99,0.01
68,18,0.01
70,18.03,0.01
72,18.01,0.01
74,17.99,0.01
76,18,0.01
78,17.97,0.01
80,17.97,0.01
