Frequency [MHz],ENR [dB],Error [dB]
60,17.73,0.01
62,17.75,0.01
64,17.76,0.01
66,17.74,0.01
68,17.76,0.01
70,17.77,0.01
72,17.76,0.01
74,17.74,0.01
76,17.75,0.01
78,17.73,0.01
80,17.72,0.01
