Frequency [MHz],ENR [dB],Error [dB]
60,17.91,0.01
62,17.92,0.01
64,17.92,0.01
66,17.91,0.01
68,17.93,0.01
70,17.94,0.01
72,17.92,0.01
74,17.91,0.01
76,17.91,0.01
78,17.89,0.01
80,17.9,0.01
